6.40e+01,3.25e+01,8.80e+01,8.80e+01,1.93e+02,7.00e+00,3.00e+00
1.28e+02,8.44e+01,1.23e+02,1.23e+02,3.06e+02,7.00e+00,3.00e+00
1.92e+02,1.29e+02,1.44e+02,1.44e+02,2.75e+02,7.00e+00,3.00e+00
2.56e+02,1.30e+02,2.57e+02,2.57e+02,4.52e+02,8.00e+00,4.00e+00
3.20e+02,1.11e+02,2.44e+02,2.57e+02,4.52e+02,7.00e+00,4.00e+00
3.84e+02,1.32e+02,2.85e+02,2.85e+02,4.02e+02,9.00e+00,6.00e+00
4.48e+02,1.68e+02,3.17e+02,3.17e+02,3.97e+02,9.00e+00,6.00e+00
5.12e+02,1.73e+02,3.81e+02,3.81e+02,4.21e+02,1.00e+01,7.00e+00
5.76e+02,1.89e+02,3.71e+02,3.81e+02,4.21e+02,1.00e+01,7.00e+00
6.40e+02,2.33e+02,3.49e+02,3.81e+02,4.21e+02,1.10e+01,8.00e+00
7.04e+02,2.44e+02,3.91e+02,3.91e+02,4.50e+02,1.10e+01,8.00e+00
7.68e+02,2.32e+02,3.67e+02,3.91e+02,4.50e+02,1.10e+01,8.00e+00
8.32e+02,2.42e+02,3.75e+02,3.91e+02,4.50e+02,1.10e+01,9.00e+00
8.96e+02,2.67e+02,3.69e+02,3.91e+02,4.50e+02,1.10e+01,9.00e+00
9.60e+02,2.88e+02,4.10e+02,4.10e+02,4.43e+02,1.10e+01,9.00e+00
1.02e+03,2.71e+02,4.15e+02,4.15e+02,4.46e+02,1.10e+01,9.00e+00
1.09e+03,2.74e+02,3.97e+02,4.15e+02,4.46e+02,1.20e+01,9.00e+00
1.15e+03,2.93e+02,3.88e+02,4.15e+02,4.46e+02,1.20e+01,1.00e+01
1.22e+03,3.05e+02,4.36e+02,4.36e+02,4.86e+02,1.20e+01,1.00e+01
1.28e+03,3.09e+02,4.39e+02,4.39e+02,4.65e+02,1.20e+01,1.10e+01
1.34e+03,3.17e+02,4.27e+02,4.39e+02,4.65e+02,1.20e+01,1.10e+01
1.41e+03,3.22e+02,4.43e+02,4.43e+02,5.03e+02,1.30e+01,1.20e+01
1.47e+03,3.60e+02,4.31e+02,4.43e+02,5.03e+02,1.30e+01,1.20e+01
1.54e+03,3.33e+02,4.42e+02,4.43e+02,5.03e+02,1.30e+01,1.20e+01
1.60e+03,3.35e+02,4.30e+02,4.43e+02,5.03e+02,1.30e+01,1.30e+01
1.66e+03,3.72e+02,4.23e+02,4.43e+02,5.03e+02,1.40e+01,1.40e+01
1.73e+03,3.68e+02,4.29e+02,4.43e+02,5.03e+02,1.40e+01,1.30e+01
1.79e+03,3.70e+02,4.50e+02,4.43e+02,5.03e+02,1.40e+01,1.30e+01
1.86e+03,3.84e+02,4.38e+02,4.43e+02,5.03e+02,1.40e+01,1.50e+01
1.92e+03,3.57e+02,4.51e+02,4.43e+02,4.93e+02,1.40e+01,1.60e+01
