-1.08e+01,1.60e+00,2.40e+01
-2.71e+01,-1.25e+01,1.90e+01
-2.31e+01,-1.29e+01,2.70e+01
-2.05e+01,-1.39e+01,2.30e+01
-7.44e+00,1.77e+00,2.60e+01
-8.02e+00,4.99e-01,2.70e+01
-7.09e+00,2.10e+00,2.70e+01
-8.19e+00,1.65e+00,2.20e+01
-2.83e+01,-1.16e+01,2.30e+01
-1.96e+01,-1.16e+01,1.90e+01
-9.82e+00,2.26e+00,2.80e+01
-2.34e+01,-1.54e+01,3.10e+01
-6.49e+00,1.79e+00,2.00e+01
-7.06e+00,1.39e+00,2.10e+01
-8.81e+00,-8.27e-01,2.00e+01
-7.31e+00,1.27e+00,1.90e+01
-8.42e+00,5.89e-01,2.00e+01
-7.88e+00,6.95e-01,2.80e+01
-2.00e+01,-1.49e+00,2.30e+01
-2.61e+01,-1.54e+01,3.50e+01
-8.31e+00,8.06e-02,2.30e+01
-8.84e+00,4.58e-01,1.80e+01
-8.60e+00,-6.24e-01,3.70e+01
-2.09e+01,-1.60e+01,2.60e+01
-9.49e+00,-2.77e-01,2.40e+01
-1.89e+01,-5.93e+00,2.80e+01
-1.07e+01,2.67e-01,1.80e+01
-1.18e+01,1.32e+00,3.20e+01
-1.78e+01,-2.25e+00,2.30e+01
-1.74e+01,2.57e+00,1.50e+01
-2.36e+01,-1.60e+01,2.00e+01
-2.79e+01,-1.45e+01,1.70e+01
-1.18e+01,1.43e+00,2.70e+01
-1.59e+01,-4.12e+00,3.00e+01
-9.77e+00,-1.55e+00,2.80e+01
-7.72e+00,6.92e-01,2.40e+01
-2.11e+01,-1.17e+01,2.60e+01
-2.12e+01,-1.04e+00,1.70e+01
-1.16e+01,5.19e+00,1.70e+01
-6.85e+00,2.93e+00,2.90e+01
-1.83e+01,-1.37e+01,2.50e+01
-9.18e+00,1.82e-01,2.60e+01
-2.20e+01,-1.42e+01,1.80e+01
-2.49e+01,-1.48e+01,2.80e+01
-7.53e+00,1.80e+00,2.10e+01
-1.17e+01,2.88e+00,2.00e+01
-2.47e+01,-1.01e+01,1.80e+01
-2.67e+01,-1.59e+01,2.40e+01
-2.72e+01,-1.37e+01,2.40e+01
-1.43e+01,7.25e-01,2.10e+01
-8.23e+00,2.78e+00,2.50e+01
-8.41e+00,9.99e-01,2.20e+01
-8.26e+00,6.73e-01,3.50e+01
-8.32e+00,-3.51e+00,2.40e+01
-2.98e+01,-1.56e+01,3.20e+01
-1.04e+01,-2.27e+00,2.40e+01
-6.39e+00,1.51e+00,2.70e+01
-6.61e+00,1.19e+00,2.30e+01
-1.04e+01,-3.02e+00,2.70e+01
-1.60e+01,-1.67e-01,1.80e+01
-2.10e+01,-1.05e+01,1.90e+01
-1.97e+01,-1.07e+01,1.60e+01
-9.12e+00,-2.51e+00,2.10e+01
-7.91e+00,7.11e-01,2.90e+01
-7.66e+00,2.04e+00,3.00e+01
-7.83e+00,2.68e+00,2.50e+01
-2.67e+01,-1.51e+01,2.80e+01
-7.61e+00,4.38e-01,2.40e+01
-2.45e+01,-1.37e+01,3.00e+01
-1.28e+01,-3.40e+00,3.00e+01
-8.05e+00,1.24e-01,2.50e+01
-1.81e+01,-5.36e+00,2.80e+01
-8.09e+00,2.71e+00,2.50e+01
